,surface,tournament_level,best_of_sets,A_hand,A_has_seed,B_hand,B_has_seed,elo_diff,rank_diff,rank_points_diff,rolling_serve_win_ratio_diff,surface_win_ratio_diff,age_diff,height_cm_diff
51,1,3,3,1,0,1,0,0.0,-298.0,1198.0,0.0,0.0,-0.6999999999999993,11.0
52,1,3,3,1,0,1,0,0.0,34.0,-821.0,0.0,0.0,-13.600000000000001,-25.0
53,1,3,3,1,0,1,0,20.0,-247.0,520.0,0.0,0.5282983000718673,5.199999999999999,0.0
54,1,3,3,1,0,1,0,20.0,41.0,-1341.0,0.0,0.4717016999281327,-11.600000000000001,5.0
55,1,3,3,1,0,1,0,-1.150022555690839,51.0,-678.0,0.0,0.0,5.899999999999999,-11.0
56,1,3,3,1,0,1,0,1.150022555690839,-7.0,520.0,0.0,0.0,-2.0,-30.0
57,1,3,3,1,0,1,0,38.84997744430916,-312.0,1723.0,0.0,0.5282983000718673,0.8000000000000007,13.0
58,1,3,3,1,0,1,0,-38.84997744430916,-48.0,4756.0,0.0,-0.4717016999281327,2.8999999999999986,15.0
59,1,3,3,1,0,1,0,17.8390904285784,-14.0,525.0,0.0,0.5,1.5,2.0
60,1,3,3,1,0,1,0,62.1609095714216,-14.0,3935.0,0.0,1.0,-10.700000000000003,-10.0
61,1,3,3,1,0,1,0,-2.1692869046514716,-65.0,1203.0,0.0,0.0,-4.399999999999999,13.0
62,1,3,3,1,0,1,0,37.60271574767239,-7.0,3415.0,0.0,0.5,-8.700000000000003,20.0
63,1,3,3,1,0,1,0,0.0,-399.0,62.0,0.0,0.0,1.7999999999999972,-5.0
64,1,3,3,1,0,1,0,0.0,-26.0,635.0,0.0,0.0,-1.5,16.0
65,1,3,3,0,0,1,0,20.0,-764.0,957.0,0.0,0.5282983000718673,-0.3000000000000007,0.0
66,1,3,3,1,0,1,0,20.0,-4.0,57.0,0.0,0.5282983000718673,-0.5,0.0
67,1,3,3,0,0,1,0,-1.150022555690839,-365.0,895.0,0.0,0.0,-2.099999999999998,5.0
68,1,3,3,1,0,1,0,1.150022555690839,-22.0,578.0,0.0,0.0,-1.0,16.0
69,1,3,3,1,0,1,0,38.84997744430916,-616.0,224.0,0.0,0.5282983000718673,11.199999999999996,-10.0
70,1,3,3,1,0,1,0,38.84997744430916,-35.0,1268.0,0.0,0.5282983000718673,-1.1000000000000014,5.0
71,1,3,3,1,0,1,0,-17.8390904285784,217.0,-162.0,0.0,-0.5,-9.399999999999999,5.0
72,1,3,3,1,0,1,0,-22.1609095714216,-9.0,633.0,0.0,0.0,0.3999999999999986,-11.0
73,1,3,3,1,0,0,0,-42.16928690465147,148.0,-733.0,0.0,-0.5,11.499999999999996,-10.0
74,1,3,3,1,0,1,0,-40.13066952963095,31.0,-1211.0,0.0,-0.5,0.6000000000000014,-5.0
75,1,3,3,1,0,0,0,0.0,586.6942680033673,-1534.600788245198,0.0,0.0,6.5,-2.0
76,1,3,3,1,0,1,0,0.0,-19.0,353.0,0.0,0.0,-6.199999999999999,5.0
77,1,3,3,1,0,1,0,0.0,-404.0,409.0,0.0,0.0,7.399999999999999,-13.0
78,1,3,3,0,0,1,0,20.0,27.0,-333.0,0.0,0.5282983000718673,-9.8,-10.0
79,1,3,3,1,0,1,0,0.0,-559.0,432.0,0.0,0.0,8.899999999999999,-5.0
80,1,3,3,0,0,1,0,-1.150022555690839,46.0,-686.0,0.0,0.0,-3.6000000000000014,-15.0
81,1,3,3,1,0,0,0,20.0,-81.30573199663274,771.3992117548021,0.0,0.5282983000718673,11.8,-2.0
82,1,3,3,0,0,1,0,38.84997744430916,-44.0,8888.0,0.0,0.5282983000718673,-0.5,5.0
83,1,3,3,1,0,1,0,18.84997744430916,-668.0,2306.0,0.0,0.5,5.300000000000001,0.0
84,1,3,3,0,0,1,0,17.8390904285784,-25.0,8535.0,0.0,0.5,5.699999999999999,0.0
85,1,3,3,1,0,1,0,-2.2340510562676172,-109.0,1874.0,0.0,0.0,-3.599999999999998,5.0
86,1,3,3,0,0,0,0,-2.1692869046514716,-71.0,9221.0,0.0,0.0,9.3,15.0
87,1,3,3,1,0,1,0,0.0,22.0,-106.0,0.0,0.0,-1.3999999999999986,-8.0
88,1,3,3,1,0,1,0,0.0,114.0,-931.0,0.0,0.0,10.0,18.0
89,1,3,3,1,0,1,0,20.0,-53.0,863.0,0.0,0.5282983000718673,6.400000000000002,-5.0
90,1,3,3,1,0,1,0,20.0,-24.0,1239.0,0.0,0.5282983000718673,9.699999999999996,8.0
91,1,3,3,1,0,1,0,-20.0,-42.0,341.0,0.0,-0.4717016999281327,12.2,-10.0
92,1,3,3,1,0,1,0,1.150022555690839,123.0,-1178.0,0.0,0.0,3.0,7.0
93,1,3,3,1,0,1,0,38.84997744430916,-43.0,576.0,0.0,0.5282983000718673,5.300000000000001,-18.0
94,1,3,3,1,0,1,0,38.84997744430916,-31.0,7764.0,0.0,0.5282983000718673,9.0,3.0
95,1,3,3,1,0,1,0,18.922912606205955,-65.0,682.0,0.0,0.5,6.699999999999999,-10.0
96,1,3,3,1,0,1,0,-22.1609095714216,-145.0,8695.0,0.0,0.0,-1.0,-15.0
97,1,3,3,1,0,1,0,-37.76849762413144,-10.0,287.0,0.0,-0.5,1.1000000000000014,13.0
98,1,3,3,1,0,1,0,20.196869907694236,-7.0,6525.0,0.0,0.0,-0.6999999999999957,-5.0
99,1,3,3,1,0,1,0,57.89454948782668,-148.0,2007.0,0.0,0.4717016999281327,5.800000000000001,5.0
100,1,3,3,1,0,0,0,-40.12480428120398,10.0,-7650.0,0.0,-0.33333333333333337,-4.5,-5.0
101,1,3,3,1,0,0,0,22.349408774826315,-23.0,400.0,0.0,0.33333333333333337,0.3000000000000007,5.0
